screen_name_from,score
MichaelKnight27,0.2
TerryJeffreys,0.7
Krys2549,4.5
gallimaufrey777,3.4
vote_leave,3.5
StrongerInWilts,3.5
rositastef,4.1
SDChamp,4.8
CliveChalk,3.7
Foxgoose,1.1
LesleyFullman,1.6
atlanticbaron,2.7
WestminsterMole,1.0
PegasusCorpInfo,1.1
LythamLiving,0.8
Hansig_jw,0.3
Artboy1,2.2
greycurmudgeon,0.6
nova_marcel,0.8
PeterNimmo1,0.4
markprince58,1.5
RNiallDMartin,0.6
Dave_Sm1th,1.2
stu4tea,0.5
Sozzinski,0.8
Justwilliams,0.8
REBELTROOP,0.3
FBureaucrat,0.4
Methusalada74,3.8
TheSpeakingRog,0.5
iBristolPeople,2.6
LizofMuesliHill,1.8
chrisferris22,0.2
wildhyperbole,4.0
TweakTweak29,0.8
csibike1,3.8
R_de_Gerber,0.2
CurlyClareToo,3.8
nightsiren,1.0
JohnEJefferson,1.0
gm_stone,0.2
joabbess,1.2
marcuschown,2.0
connorwebster98,0.2
gengh60,0.6
chrisgerhard,0.6
BiztheBuz,4.1
CONSERVATlVEUK,4.1
beeshive1,2.9
McKennaSusie,4.2
_charlesperry,0.2
Binbin0324SH,1.2
yrotitna,0.6
juliehinukeu,4.4
christoclifford,4.8
Rivermansky63,0.4
wildwalkerwoman,1.6
Helen121,0.2
ladyrare1,1.6
conndec,2.8
Cyril_Matvech,3.9
Cilvrnum,0.6
JohnPrice369,1.1
RosyKnight,1.2
Gr8Darwinians,1.4
bookmeme,0.6
amac2704,0.6
Lin_121,3.6
barfilfarm,0.7
Chrisuk1943,0.8
titch751,3.8
DavidWCummins,3.7
nytamann,1.7
William_Dunn,0.6
cole_davesc66,4.1
richoneill282,1.0
Dr_Aust_PhD,1.0
UKPoIitics,3.8
cordeiro876,4.2
DawnannDawn,0.9
almaemily2,4.0
PetejPjvale,0.6
__GriffCo__,3.4
KathyRoddy,2.2
rebroger,1.8
lesterbroom48,1.1
arzydel,0.6
Vote_UKIP,0.4
merman1974,1.0
8f61056a5c3a472,3.4
kevinhall1963,3.8
WhittleseyOne,0.3
KimbleDi,0.3
EmilTschepp,0.3
pierregas2014,1.8
Sezzer64,0.3
RogTallbloke,0.8
JohnStanners,0.4
Makerel_Sky,0.4
pdss9,4.1
THemingford,4.1
EricdeMarylebon,4.3
Penbedw,0.6
CylencharLtd,0.4
highconstable,0.4
g_larkins,3.5
saramaye71,1.2
MalcolmFincken,0.4
EwanHunter,1.0
CrinklyTinArts,0.6
marjonanne,1.2
rasadave,0.3
davidbent1948,3.4
The1Shez,4.1
uncleporkie,0.5
D_Raval,1.0
carolknowlson,0.3
owenblacker,0.5
JohnStrawson,0.4
natachakennedy,0.4
PatC63316307,4.8
EducatingDonna,0.6
brianrowe13,4.0
Peter_Mugridge,1.0
butterflytongue,1.8
johnbozzers,0.4
Evanderstap,0.4
Ey1255,3.0
Uditha_Desilva,0.9
AspieMum,4.5
Woldslinx,0.6
joodropsicle,0.4
coralivesey,4.3
English_Woman,1.0
GillianGn,4.4
GeoffreyClewes,2.7
paddyjpf92,0.8
lizmcshane,0.1
ron_mould,4.1
phild1970,0.2
BraisbyI,3.9
Earindill,1.0
petebestuk,0.3
MrReaLs1,0.8
mr_ceebs,0.0
TigerTaggart,1.0
ATSocialMediaUK,3.3
solarkipedia,0.3
tim_newling,0.4
Nic_Nac86,0.8
domdyer70,2.0
kevin0u,4.1
DrBob317,0.2
gallantfive,1.0
herdmeister,1.0
helenhaywalker,2.9
JakubKrupa,1.1
starbie99,0.6
gturner1969,4.1
jollyd62,1.4
DanWarren84,0.5
twinkletoze,1.8
scotpolitik,0.4
mikeyb7248_burt,1.1
pablothehat,0.2
christhebiggles,2.9
bluenosetilidie,0.4
miktorVeldre,0.8
digitalmaverick,1.2
DoreJayne,4.4
sa_72,1.0
MsGenevieveMD,0.4
larkieranger,1.6
david_colquhoun,1.0
nickareay,0.2
rdgresident,0.3
TownTerrier2,3.8
garethbouch,0.4
chrisjug,0.2
SBarutta,0.9
gibbonape,0.4
borstalgran,1.1
iaindocherty,0.4
HenstridgeSJ,0.3
polnyypesets,1.6
LizAllen16,1.2
lisbourne6,1.4
cfchck,3.0
donphill,4.7
helenhims,0.6
ShortfuseLiz,3.8
tagandbruce,0.0
tw_weston,0.8
johnisitme,4.6
Mambear04,3.6
patsy_glasgow,0.6
woolyhat2000,1.3
Dunholme,3.6
JohnARead,4.2
MDOPrune,0.6
CER_Grant,2.0
cwalshUK,0.9
jly1960,4.8
StarWizl,2.4
baroncols,0.3
JaM99percent,1.5
johnmara1944_jm,3.0
RandallNortham,3.9
NikkiKhan10,1.0
marionste,1.2
theschneck,0.4
SimondForbes,0.6
fronteratech,0.4
unitedmyheaven,1.0
SNPwindaes,3.4
pdockerty,0.0
JeffEnfield,0.0
Mickryder5,3.8
AyrshireBog,0.4
cambuslangsteve,1.2
xLuna84x,0.3
Gandhi_ray,3.3
ronthomasphotog,3.6
billysastard1,1.0
Peter_Clark8,3.6
Duskatrkulja1,1.1
chatttylady,1.2
Cycling7777,5.0
David_Batty,1.2
Katheri48033429,0.7
SteveBakerHW,2.4
GiftCee,3.2
dubplatedoris,4.8
rcw2412,0.2
UndebPlaidCymru,1.0
uktostayeu,1.2
andrewalbury,0.7
DebMildenstein,0.6
weenoonie,1.2
AmeliaAber,1.0
eevriviades,1.4
sinnaluvva,0.6
VoteLeaveEU,4.9
AgainstHunting,3.9
hackneyglyn,0.2
petermbenglish,1.0
Natasha_Akhtar,0.2
allman1951,0.3
UKIP,2.2
prolucy2,1.7
markhughes,0.2
WritersofColour,1.1
connor_audrey,4.4
loriblue6,3.8
DominicFarrell,1.0
HD2onPBdotcom,1.2
Owlsincefifties,1.2
elusio,0.3
LordMarkOfTheG,0.2
DaveSThompson,1.0
SallyMos,5.0
blondiesa,3.6
garymartin1981,1.4
ImaTigerrr,3.8
garyhulme1812,4.6
DailyMirror,3.6
Fleetblue,1.2
DHWaroonga,0.0
willieckerslike,0.3
Timewalkproject,4.6
DouglasCarswell,1.6
mseuca,3.8
Madeleine_1115,0.6
fmobuk,0.6
ajourno101,4.6
robertcp,1.0
Sledge1960,0.6
LitChick79,0.2
roybirch,0.6
MartinTwigs68,1.4
eagle44,1.0
thumbfive,0.4
franceshinde,1.1
juneh49,1.1
lyndsey_unwin,3.8
MCH1951,0.5
BD_PiP,3.8
kaminjude,0.6
hocwatch,0.1
semperflebilis,2.8
FullerDenis,0.2
NathanGillMEP,1.4
caddymation,0.1
mirabarhillel,3.3
andrewfeinstein,1.7
CouncillorEd,4.1
GeorgePeretzQC,0.9
AdeSmith_,4.4
infamousgrouser,1.4
2351onthelist,2.4
John_Ferrett,0.2
Nichola66058672,0.2
loishyett,0.4
DGDimitrakop,0.4
SandPatterson,0.8
LobbyComm,4.5
alangriffith8,3.6
RichardHilton1,0.1
Juvelad,1.5
mrjoelclark,0.3
BeverleyDunlop,4.4
IneluctViz,3.9
gerainttalfan,0.9
TheBirmingham6,3.6
JasonEdgington3,3.2
xGenniex,4.8
philreadUK,1.4
dpgassafe,0.2
ceesav,1.2
simon_brooke,0.6
craigr98_2016,1.1
JohnCurd1,1.2
dazzer27manc27,0.6
julijuxtaposed,0.2
paz_parish,0.2
AtheistMayhem,0.3
MartinJTelf,0.0
islingtonlloyd,0.9
AylesburySting,0.2
TomMorrisEsq,1.5
sunshineonleith,2.2
barbaraweed,1.4
steve1211,0.4
Akusia,0.8
RayDHull,1.4
ahddrv,1.0
WendyGeorginaL2,0.9
xtaldave,0.3
TheGilse,3.6
LD_PeterB,0.1
dswift352,4.1
BuntinRobert,4.2
surreyhillock1,0.2
Peter__Howells,1.4
brexit999a,0.6
BluebellBw,3.4
gwpurnell,1.0
catherinehall20,1.2
daily_politics,1.7
DylanStrain,4.5
margiebri,1.2
RichardHullster,0.2
PaulPaul49,1.8
GoldishCJ,1.0
frankiecrisp1,0.2
IreneOhara2,0.2
carbonsaveruk,4.9
timofnewbury,1.7
WildJayCee,0.8
ShazaTukky,0.4
Prof_DFrench,0.8
dilitas,1.6
Scientists4EU,1.9
FridaysXI,0.1
CrazyBigBoy1,3.7
Kath1853,1.2
grapplewithit,1.0
AngiePedley,0.5
WitchesKitchen,1.0
omlidia,1.3
STARBRIGHT164,1.2
EbonyDawnMarsh,0.4
MJohn59655,3.8
Jintyg51,0.7
TheSlay,0.4
femiokes,0.8
babylon1977,0.2
Granny_Day,0.6
55krissi55,3.2
DiegoSantiago,0.4
JAEdinburgh,4.1
LeeLawrence65,2.9
LizClements,0.6
musselle_nick,4.2
